,h,s,v,num
208334,22,149,194,221
210057,18,173,180,216
213419,18,165,173,206
216196,22,148,195,198
216343,19,177,183,198
219777,18,164,174,189
220048,22,149,193,188
220190,18,160,163,188
220554,18,181,158,187
221037,18,182,157,186
221379,18,158,165,185
221386,18,169,161,185
221389,19,176,184,185
221809,18,180,159,184
222188,18,174,179,183
222626,17,161,171,182
223450,17,160,172,180
223820,19,168,193,179
224646,18,166,172,177
225090,18,172,159,176
225431,18,161,163,175
225441,18,172,181,175
225442,19,176,181,175
226866,18,174,157,172
227767,18,159,164,170
228665,19,178,182,168
231815,19,169,192,161
232801,17,158,170,159
232813,19,167,194,159
233296,18,157,166,158
233297,18,161,162,158
233337,19,144,174,158
233338,17,162,170,158
233767,18,163,172,157
234313,18,164,166,156
234779,18,167,171,155
235110,22,150,192,154
235312,18,171,160,154
236695,18,175,156,151
236696,18,173,158,151
236712,18,167,176,151
237303,18,184,155,150
237304,18,145,157,150
237759,19,172,191,149
238700,18,141,161,147
238701,18,168,162,147
239052,19,143,175,146
239253,19,151,164,146
239713,19,166,177,145
239714,18,160,174,145
239715,18,178,159,145
239719,18,164,171,145
240253,18,140,162,144
240296,20,172,154,144
240298,19,177,180,144
241334,20,161,170,142
241335,18,187,153,142
241844,19,175,182,141
242348,19,152,163,140
242906,19,167,160,139
243525,18,163,167,138
243980,18,131,162,137
243981,18,167,163,137
243995,18,185,154,137
244006,19,170,191,137
244248,20,157,153,136
244524,18,160,164,136
244563,18,163,175,136
245079,20,131,175,135
245080,18,144,158,135
246825,18,160,171,132
246826,18,179,158,132
247260,20,153,153,131
247382,18,177,161,131
247383,18,179,160,131
247384,18,180,157,131
247387,20,218,166,131
247964,19,148,164,130
247965,19,171,161,130
247966,18,145,156,130
248018,20,161,169,130
248019,18,176,162,130
248022,20,219,165,130
248551,18,165,158,129
248552,18,165,165,129
248573,19,180,154,129
248574,19,184,162,129
248576,17,159,173,129
249140,18,159,165,128
249196,18,130,175,128
249197,19,183,162,128
249201,18,170,180,128
249762,18,164,159,127
250374,18,163,164,126
250375,18,162,161,126
250432,20,145,164,126
250433,18,161,170,126
250434,19,176,158,126
250435,18,142,160,126
250446,18,171,179,126
251585,18,139,163,124
251586,19,169,163,124
251587,18,162,162,124
251639,19,150,165,124
251640,19,181,163,124
252239,19,127,161,123
252240,18,146,155,123
252271,20,163,156,123
252276,18,130,174,123
252569,22,132,153,122
252902,20,173,153,122
252909,19,172,160,122
252910,19,179,155,122
252916,20,221,164,122
252960,19,166,195,122
253512,19,149,166,121
253513,19,163,163,121
253514,18,163,160,121
254189,19,150,163,120
254190,19,166,161,120
254241,19,141,175,120
254643,19,165,178,119
254821,18,183,156,119
254822,18,143,159,119
255470,19,149,163,118
255530,18,152,171,118
255531,19,164,163,118
255532,19,179,162,118
255533,18,178,153,118
255582,19,171,192,118
256110,18,161,166,117
256111,19,165,162,117
256148,18,176,155,117
256149,19,167,166,117
256150,19,173,159,117
256151,19,174,160,117
256152,18,157,156,117
256153,17,166,161,117
256159,18,166,174,117
256182,19,170,190,117
256763,19,163,161,116
256764,19,154,161,116
256821,18,162,176,116
256822,20,168,155,116
256823,19,178,156,116
256824,19,183,163,116
257234,19,170,181,115
257278,20,160,153,115
257404,19,170,162,115
257432,19,161,157,115
257438,20,155,170,115
257439,19,143,173,115
257440,20,151,166,115
257441,19,190,162,115
257850,19,168,175,114
258176,20,170,156,114
258195,20,150,167,114
258196,19,161,166,114
258197,18,147,153,114
258204,20,217,167,114
258791,19,161,160,113
258814,20,146,155,113
258826,19,142,176,113
258827,19,144,173,113
258828,20,151,165,113
258829,18,157,174,113
258830,19,173,161,113
258831,19,168,164,113
258832,20,166,154,113
258833,20,169,154,113
258834,18,162,168,113
259238,22,151,191,112
259520,19,153,163,112
259521,18,162,165,112
259522,18,156,167,112
259576,20,150,161,112
259579,18,161,169,112
260180,18,158,166,111
260181,19,164,160,111
260182,19,161,165,111
260183,19,130,161,111
260208,20,171,155,111
260214,18,171,167,111
260215,20,165,155,111
260216,19,175,159,111
260217,19,152,158,111
260218,19,166,167,111
260651,22,147,196,110
260920,18,166,164,110
260921,19,158,163,110
260922,20,166,158,110
260923,19,166,160,110
260924,18,164,163,110
260971,20,172,156,110
260989,20,152,164,110
260990,20,160,171,110
260991,18,172,166,110
260992,19,193,160,110
260993,20,167,156,110
261378,19,167,176,109
261532,19,150,162,109
261533,19,162,164,109
261570,19,162,165,109
261571,19,177,157,109
261572,19,182,164,109
261573,20,166,164,109
261574,17,165,162,109
261584,19,175,185,109
261585,17,167,174,109
261880,19,135,166,108
262272,18,148,153,108
262352,20,144,165,108
262353,18,146,154,108
262354,17,158,169,108
262723,21,152,153,107
262991,18,130,163,107
262992,18,167,156,107
263022,20,166,157,107
263033,19,142,174,107
263034,20,153,168,107
263035,18,168,170,107
263036,20,170,153,107
263037,18,161,155,107
263043,17,157,171,107
263044,17,163,169,107
263351,19,141,165,106
263728,19,155,164,106
263729,19,161,163,106
263730,19,152,164,106
263731,20,162,159,106
263732,19,162,159,106
263788,20,154,171,106
263789,18,168,155,106
263790,17,189,154,106
263791,18,158,173,106
263804,18,168,175,106
263805,18,162,173,106
264417,18,131,161,105
264418,19,168,161,105
264419,19,153,162,105
264420,19,164,162,105
264421,19,151,159,105
264466,20,155,169,105
264467,17,164,163,105
264477,20,223,165,105
264478,20,222,163,105
264907,19,170,182,104
265220,19,128,160,104
265221,19,160,164,104
265222,19,167,159,104
265223,19,163,158,104
265298,20,163,167,104
265308,19,179,181,104
265359,17,164,174,104
265645,22,129,156,103
265646,22,128,157,103
265934,18,138,164,103
265935,19,147,165,103
265936,19,160,161,103
265937,19,160,158,103
265968,20,162,168,103
265969,19,192,161,103
265970,18,176,161,103
265971,20,130,176,103
265972,18,177,160,103
265989,18,163,174,103
265990,20,216,168,103
266373,19,171,180,102
266677,19,162,162,102
266734,20,152,169,102
266735,19,162,156,102
266736,18,177,154,102
266747,17,168,173,102
267413,21,175,153,101
267419,18,127,155,101
267422,19,145,163,101
267467,20,159,157,101
267471,20,135,176,101
267472,19,157,171,101
267473,19,164,179,101
267474,19,177,164,101
267475,19,172,156,101
267799,22,131,154,100
267990,20,155,153,100
267991,20,159,154,100
268174,19,158,160,100
268175,18,156,157,100
268246,20,156,160,100
268247,18,162,154,100
268262,18,159,172,100
268648,22,128,158,99
268800,20,158,153,99
268978,18,156,165,99
268979,19,157,162,99
268980,19,155,155,99
269015,19,169,158,99
269023,20,156,157,99
269024,18,131,173,99
269025,19,172,163,99
269026,20,164,170,99
269027,18,169,169,99
269028,19,162,167,99
269029,18,153,170,99
269389,18,134,158,98
269390,22,130,155,98
269391,20,156,154,98
269392,22,152,153,98
269393,20,148,153,98
269461,18,168,181,98
269762,21,174,154,98
269778,19,131,160,98
269779,19,145,164,98
269780,19,157,161,98
269781,19,168,158,98
269847,18,154,169,98
269848,19,169,166,98
269849,18,169,173,98
269850,19,171,157,98
269851,19,185,161,98
269852,17,188,155,98
269853,18,158,155,98
269854,18,175,163,98
269865,18,168,178,98
269915,18,171,182,98
270330,19,163,180,97
270552,18,151,167,97
270553,19,141,164,97
270554,20,159,162,97
270588,20,145,163,97
270589,19,144,175,97
270590,20,149,168,97
270591,19,167,165,97
270592,18,151,172,97
270593,18,147,154,97
270594,19,172,162,97
270602,18,170,183,97
270607,21,180,181,97
270641,18,169,180,97
271080,20,150,153,96
271338,19,153,165,96
271339,19,157,164,96
271340,19,159,162,96
271341,19,163,166,96
271342,19,163,164,96
271343,19,159,159,96
271344,19,167,157,96
271345,19,153,157,96
271425,20,147,161,96
271897,20,147,154,95
271985,20,132,174,95
272206,20,167,163,95
272207,19,166,163,95
272208,19,138,157,95
272209,19,128,159,95
272210,18,166,157,95
272211,19,164,157,95
272256,20,153,172,95
272257,20,158,163,95
272258,20,136,175,95
272259,19,168,159,95
272260,20,164,157,95
272261,18,181,156,95
272262,19,154,156,95
272263,18,161,157,95
272264,19,181,162,95
272274,18,161,174,95
273064,19,154,162,94
273145,20,154,162,94
273161,19,180,180,94
273162,18,169,174,94
273572,21,158,153,93
273893,18,131,154,93
273904,18,158,163,93
273905,20,172,162,93
273906,18,165,162,93
273907,19,169,157,93
273908,19,166,158,93
273909,18,163,153,93
273910,18,160,158,93
273945,20,157,164,93
273962,19,186,166,93
273963,19,185,167,93
273964,19,170,165,93
273965,19,181,161,93
273966,17,167,160,93
273984,18,176,180,93
274361,22,127,156,92
274755,19,149,164,92
274756,17,154,166,92
274757,19,155,161,92
274758,19,157,153,92
274833,20,150,162,92
274837,19,159,165,92
274838,18,160,175,92
274839,19,178,158,92
274840,20,167,157,92
274841,18,139,158,92
274842,18,169,154,92
274843,18,149,157,92
275565,18,135,162,91
275566,18,151,165,91
275567,19,167,162,91
275610,20,152,173,91
275611,19,157,167,91
275612,19,166,166,91
275613,18,169,171,91
275614,18,153,153,91
275615,16,180,153,91
275635,18,175,181,91
275636,18,167,179,91
275637,16,163,161,91
276194,20,157,154,90
276472,18,138,165,90
276473,19,144,165,90
276474,19,156,163,90
276475,19,164,165,90
276476,19,150,161,90
276477,19,155,163,90
276478,19,156,160,90
276479,19,165,161,90
276480,18,163,161,90
276579,19,144,172,90
276580,18,138,159,90
276581,19,184,161,90
276582,20,171,163,90
276583,17,163,164,90
276584,18,170,168,90
277085,18,133,159,89
277177,19,169,183,89
277178,22,134,192,89
277437,18,153,163,89
277438,19,154,164,89
277439,18,151,155,89
277504,20,157,156,89
277506,20,153,163,89
277507,19,155,160,89
277508,19,171,163,89
277509,19,178,163,89
277510,19,186,160,89
277511,19,173,162,89
277512,18,159,154,89
277513,18,155,168,89
277514,18,148,155,89
277515,18,161,173,89
277525,18,156,175,89
277526,17,157,169,89
277893,21,151,154,88
278026,19,145,172,88
278355,18,135,153,88
278366,19,146,166,88
278367,19,151,162,88
278368,18,159,159,88
278369,19,143,155,88
278454,20,169,157,88
278473,20,145,157,88
278474,19,131,177,88
278475,19,146,171,88
278476,18,169,177,88
278477,19,171,164,88
278478,19,174,158,88
278479,20,165,165,88
278480,17,190,153,88
278481,17,167,153,88
278482,19,168,165,88
278483,17,187,158,88
278484,16,164,160,88
278512,18,165,175,88
278966,21,157,154,87
278967,20,155,155,87
279063,18,135,163,87
279064,19,132,176,87
279321,18,157,164,87
279322,19,148,165,87
279323,19,142,163,87
279324,19,134,162,87
279325,19,154,159,87
279326,19,161,158,87
279401,20,136,174,87
279402,19,155,170,87
279403,19,156,162,87
279404,19,189,163,87
279405,18,173,165,87
279406,17,186,156,87
279407,19,160,166,87
279408,18,155,155,87
279409,17,153,167,87
279426,18,170,175,87
279427,18,171,174,87
279826,21,142,153,86
279937,19,172,187,86
280281,18,152,166,86
280282,18,155,166,86
280283,19,160,159,86
280350,20,160,156,86
280352,20,133,172,86
280353,20,152,168,86
280354,20,158,166,86
280355,19,188,164,86
280356,19,187,165,86
280357,19,176,159,86
280358,19,180,159,86
280359,18,160,156,86
280360,18,158,158,86
280361,17,165,161,86
280362,18,153,157,86
280377,19,173,186,86
281166,18,128,153,85
281175,18,136,161,85
281176,20,168,162,85
281177,19,149,161,85
281209,20,156,165,85
281224,19,156,172,85
281225,19,150,172,85
281226,19,162,170,85
281227,19,186,159,85
281228,18,167,173,85
281229,18,159,157,85
281230,18,160,167,85
281231,17,164,162,85
281256,18,150,153,85
281637,19,138,159,84
281638,21,141,154,84
281869,20,152,154,84
282086,21,165,153,84
282151,19,155,165,84
282152,19,140,155,84
282248,20,154,157,84
282252,20,146,162,84
282253,19,158,169,84
282254,19,160,169,84
282255,19,168,167,84
282256,18,170,170,84
282257,19,169,164,84
282258,20,165,158,84
282259,18,148,158,84
282260,18,150,168,84
282325,16,149,157,84
282801,22,128,155,83
282878,20,163,171,83
283117,18,127,154,83
283118,18,130,153,83
283119,18,134,154,83
283127,18,152,164,83
283128,19,158,161,83
283129,18,152,161,83
283130,18,160,153,83
283131,19,155,153,83
283165,22,133,153,83
283177,19,157,154,83
283182,20,151,171,83
283183,20,143,166,83
283184,20,159,172,83
283185,19,158,170,83
283186,18,161,177,83
283187,19,182,153,83
283188,19,175,160,83
283189,19,179,160,83
283190,17,172,156,83
283191,19,180,163,83
283223,18,166,177,83
283272,19,174,190,83
283623,19,141,161,82
283742,20,134,177,82
283845,19,132,155,82
283846,18,137,154,82
284088,19,131,156,82
284089,19,133,153,82
284100,19,137,162,82
284101,18,159,162,82
284102,18,132,160,82
284103,19,157,159,82
284162,20,162,154,82
284187,19,158,157,82
284190,19,143,166,82
284191,20,157,167,82
284192,19,159,167,82
284193,19,166,169,82
284194,19,179,157,82
284195,20,174,160,82
284196,20,153,155,82
284197,18,149,154,82
284198,18,145,155,82
284199,19,127,175,82
284200,17,152,168,82
284224,18,166,180,82
284228,20,221,166,82
284706,20,154,156,81
284803,19,169,174,81
284804,19,173,190,81
284898,20,156,155,81
285126,19,169,160,81
285127,19,132,159,81
285128,19,156,154,81
285168,20,169,158,81
285169,20,145,156,81
285197,20,152,161,81
285200,19,139,167,81
285201,20,146,166,81
285202,19,149,173,81
285203,19,155,174,81
285204,18,171,172,81
285205,18,183,155,81
285206,19,183,160,81
285207,18,165,153,81
285208,18,157,159,81
285209,18,155,158,81
285233,17,191,159,81
285297,19,174,191,81
285298,19,171,189,81
285299,19,175,189,81
285675,19,140,157,80
285676,19,143,162,80
285677,21,157,153,80
285678,21,150,155,80
285789,20,156,168,80
285790,19,128,175,80
286159,21,173,155,80
286179,19,129,162,80
286180,18,166,161,80
286181,19,145,153,80
286251,20,155,166,80
286280,20,147,170,80
286281,20,139,165,80
286282,20,144,173,80
286283,20,160,164,80
286284,19,164,170,80
286285,18,160,179,80
286286,19,179,164,80
286287,19,174,161,80
286288,18,165,172,80
286289,17,186,159,80
286290,19,142,153,80
286291,18,177,157,80
286292,18,151,154,80
286293,17,147,168,80
286294,18,147,160,80
286295,17,155,165,80
286296,18,162,156,80
286320,17,190,160,80
286327,20,224,162,80
286758,19,134,156,79
286759,22,127,157,79
286760,22,151,154,79
286914,20,149,154,79
287113,19,153,160,79
287114,20,163,158,79
287115,19,148,160,79
287116,19,165,159,79
287117,18,152,153,79
287179,20,161,155,79
287180,19,161,154,79
287183,20,140,164,79
287184,20,142,176,79
287185,19,160,167,79
287186,20,164,166,79
287187,18,147,158,79
287188,17,155,173,79
287189,18,185,164,79
287190,17,184,158,79
287191,17,193,153,79
287192,18,175,159,79
287193,19,173,155,79
287194,19,172,157,79
287195,17,152,154,79
287196,18,148,157,79
287197,18,137,160,79
287238,20,219,168,79
287242,18,156,154,79
287292,19,170,193,79
287821,18,128,155,78
287822,19,141,154,78
287823,20,155,156,78
288159,18,150,167,78
288160,18,154,164,78
288161,19,135,161,78
288162,20,155,161,78
288276,19,159,156,78
288277,18,129,176,78
288278,19,137,177,78
288279,19,129,158,78
288280,20,128,173,78
288281,19,140,173,78
288282,19,175,157,78
288283,18,184,154,78
288284,17,191,155,78
288285,17,151,155,78
288286,18,174,164,78
288287,16,178,155,78
288288,17,155,164,78
288289,19,182,161,78
288290,18,154,171,78
288291,17,156,172,78
288314,18,174,182,78
288315,18,167,182,78
288316,18,168,172,78
288317,18,165,170,78
288324,21,182,179,78
288429,19,165,196,78
288899,19,143,159,77
289006,18,129,180,77
289007,19,154,191,77
289093,20,151,155,77
289256,21,163,153,77
289305,18,128,161,77
289306,18,151,166,77
289307,19,136,163,77
289308,19,159,160,77
289309,19,139,156,77
289310,20,152,156,77
289353,21,156,155,77
289368,20,151,160,77
289369,19,156,159,77
289373,19,134,167,77
289374,19,136,165,77
289375,20,142,167,77
289376,19,159,168,77
289377,18,146,161,77
289378,18,130,155,77
289379,17,168,159,77
289380,19,181,165,77
289400,18,164,173,77
289401,17,158,174,77
289402,17,166,175,77
289403,17,167,156,77
289406,21,177,184,77
289476,19,164,197,77
289477,19,174,189,77
289834,18,137,155,76
289835,19,162,153,76
289836,21,154,154,76
289940,19,127,177,76
290062,19,152,153,76
290262,20,151,162,76
290323,19,135,160,76
290395,20,162,157,76
290396,20,168,156,76
290425,19,133,169,76
290426,20,151,169,76
290427,19,148,174,76
290428,19,163,155,76
290429,19,178,165,76
290430,17,185,157,76
290431,19,168,156,76
290432,18,138,155,76
290433,17,143,169,76
290434,17,163,156,76
290435,18,152,154,76
290459,18,172,178,76
290460,18,159,175,76
290461,17,193,157,76
290462,17,192,158,76
290470,21,178,183,76
290486,18,154,156,76
290978,21,155,153,75
291070,19,127,173,75
291314,23,127,155,75
291376,18,129,154,75
291377,18,140,153,75
291389,18,129,164,75
291390,18,160,161,75
291391,19,152,161,75
291392,19,155,158,75
291393,18,154,159,75
291463,20,152,159,75
291464,19,160,155,75
291465,20,140,158,75
291468,19,138,165,75
291469,19,147,175,75
291470,20,144,174,75
291471,19,140,166,75
291472,20,139,171,75
291473,19,128,176,75
291474,19,152,166,75
291475,20,150,170,75
291476,19,153,172,75
291477,19,158,166,75
291478,18,164,176,75
291479,20,160,161,75
291480,19,169,169,75
291481,18,184,157,75
291482,20,167,153,75
291483,17,190,156,75
291484,17,188,157,75
291485,19,179,165,75
291517,18,153,160,75
291587,19,174,186,75
291588,19,177,187,75
291955,20,147,156,74
291956,21,139,156,74
292083,22,162,191,74
292437,21,164,154,74
292533,19,128,163,74
292534,18,154,167,74
292535,19,151,160,74
292536,18,155,161,74
292537,20,161,160,74
292538,18,169,158,74
292606,20,176,154,74
292650,20,144,168,74
292651,20,149,171,74
292652,18,133,161,74
292653,19,140,177,74
292654,18,148,159,74
292655,18,187,162,74
292656,20,173,161,74
292657,18,175,162,74
292688,20,181,175,74
292795,19,174,192,74
293208,21,141,157,73
293308,19,172,179,73
293309,20,134,175,73
293632,19,148,167,73
293633,19,161,168,73
293634,19,146,159,73
293635,18,146,159,73
293636,18,167,160,73
293637,19,144,154,73
293686,20,169,161,73
293713,19,128,172,73
293714,19,131,171,73
293715,19,145,174,73
293716,20,145,167,73
293717,19,149,169,73
293718,20,152,170,73
293719,20,165,168,73
293720,20,142,172,73
293721,18,166,171,73
293722,19,182,160,73
293723,19,165,156,73
293724,20,172,153,73
293725,17,174,154,73
293726,18,150,156,73
293727,19,165,168,73
293728,17,168,155,73
293729,17,159,168,73
293752,20,182,174,73
293875,14,210,153,73
294331,19,166,180,72
294332,22,137,193,72
294333,19,133,175,72
294793,18,148,171,72
294794,17,148,167,72
294795,19,142,160,72
294796,19,145,157,72
294797,19,141,157,72
294798,19,151,165,72
294799,18,156,160,72
294800,19,166,155,72
294801,18,142,154,72
294894,20,161,158,72
294925,20,146,157,72
294926,20,150,156,72
294927,20,158,158,72
294928,20,158,155,72
294931,19,128,171,72
294932,20,129,172,72
294933,20,154,167,72
294934,20,159,165,72
294935,20,137,173,72
294936,19,170,156,72
294937,19,180,166,72
294938,20,169,155,72
294939,20,147,163,72
294940,19,195,158,72
294941,20,172,159,72
294942,19,181,158,72
294943,18,185,153,72
294944,17,139,158,72
294945,18,164,154,72
294946,18,169,167,72
294947,19,154,171,72
294948,16,179,154,72
294949,19,180,164,72
294980,18,181,176,72
294986,21,181,180,72
295591,22,132,155,71
295592,19,132,158,71
295593,21,136,156,71
295703,19,135,164,71
295704,21,179,182,71
295705,21,159,192,71
295944,21,138,153,71
295945,21,159,156,71
295946,21,161,154,71
296003,19,154,166,71
296004,20,144,163,71
296005,19,165,164,71
296006,18,163,158,71
296007,19,149,159,71
296008,19,151,154,71
296009,19,140,158,71
296078,19,139,174,71
296079,20,150,172,71
296080,19,146,169,71
296081,20,141,168,71
296082,20,148,172,71
296083,20,143,171,71
296084,20,147,165,71
296085,20,148,164,71
296086,19,148,177,71
296087,18,186,155,71
296088,19,174,164,71
296089,18,174,160,71
296090,18,178,156,71
296091,19,157,172,71
296092,19,177,156,71
296093,17,192,153,71
296094,19,167,153,71
296095,16,175,153,71
296096,20,182,160,71
296127,21,175,186,71
296189,19,176,188,71
296547,21,134,156,70
296548,21,140,155,70
296757,19,137,153,70
297083,18,141,164,70
297084,19,144,166,70
297085,19,145,160,70
297086,19,139,163,70
297087,19,160,153,70
297151,21,165,155,70
297179,19,138,168,70
297180,19,148,171,70
297181,20,142,162,70
297182,19,136,161,70
297183,20,158,169,70
297184,20,133,173,70
297185,20,147,173,70
297186,19,141,177,70
297187,20,168,165,70
297188,19,158,168,70
297189,18,183,163,70
297190,19,175,166,70
297191,20,167,169,70
297192,19,185,160,70
297193,18,168,168,70
297194,20,171,157,70
297195,19,159,170,70
297196,19,173,153,70
297197,20,128,174,70
297198,16,180,154,70
297199,18,181,159,70
297200,18,177,163,70
297239,18,175,178,70
297240,17,154,157,70
297241,17,153,153,70
297252,20,220,167,70
297838,22,150,155,69
297839,21,145,153,69
297840,21,143,155,69
297841,21,138,157,69
297842,20,144,158,69
297843,22,127,159,69
297940,20,132,179,69
298023,19,136,154,69
298203,22,163,153,69
298277,18,131,163,69
298278,18,154,162,69
298279,18,162,159,69
298280,18,176,158,69
298281,19,152,159,69
298282,19,137,158,69
298283,19,158,158,69
298284,19,142,156,69
298361,19,173,156,69
298362,20,173,158,69
298394,20,163,153,69
298395,20,154,159,69
298401,20,146,176,69
298402,20,158,173,69
298403,19,158,171,69
298404,19,159,173,69
298405,19,183,169,69
298406,19,194,159,69
298407,18,170,153,69
298408,18,140,157,69
298409,18,132,162,69
298410,16,177,156,69
298411,16,173,159,69
298412,17,171,157,69
298413,19,178,166,69
298449,18,180,177,69
298454,21,180,184,69
298455,20,214,169,69
299112,20,167,188,68
299113,22,162,190,68
299114,20,133,178,68
299238,20,154,154,68
299460,21,160,155,68
299544,19,128,164,68
299545,18,149,169,68
299546,19,171,155,68
299547,19,150,160,68
299548,17,162,165,68
299549,19,160,156,68
299550,19,163,156,68
299675,20,148,160,68
299676,19,132,170,68
299677,20,142,171,68
299678,19,144,161,68
299679,19,151,171,68
299680,19,164,169,68
299681,19,176,165,68
299682,18,184,165,68
299683,18,170,176,68
299684,20,163,169,68
299685,19,177,167,68
299686,19,170,159,68
299687,18,137,156,68
299688,19,158,155,68
299689,17,152,164,68
299690,18,178,162,68
299691,19,128,174,68
299692,19,169,155,68
299693,17,151,169,68
299694,20,176,165,68
299730,18,177,180,68
299731,19,152,174,68
299732,19,162,172,68
299733,21,174,171,68
299734,16,162,162,68
299735,17,146,170,68
300376,21,155,155,67
300467,22,147,193,67
300468,20,139,169,67
300564,19,127,153,67
300791,18,137,166,67
300792,19,133,163,67
300793,18,142,163,67
300794,19,133,157,67
300795,18,171,157,67
300796,19,158,153,67
300852,20,157,159,67
300874,20,149,163,67
300875,20,150,163,67
300878,19,147,168,67
300879,19,145,167,67
300880,20,143,175,67
300881,19,155,166,67
300882,20,135,174,67
300883,19,184,168,67
300884,18,160,178,67
300885,19,163,169,67
300886,19,164,168,67
300887,19,183,159,67
300888,19,187,162,67
300889,19,175,163,67
300890,19,180,156,67
300891,20,171,154,67
300892,18,138,153,67
300893,17,128,155,67
300894,16,182,153,67
300895,19,166,154,67
300896,16,174,154,67
300897,18,144,159,67
300898,17,169,158,67
300899,18,159,168,67
301025,19,174,185,67
301426,19,139,158,66
301427,22,132,154,66
301428,21,149,156,66
301429,22,129,158,66
301548,19,127,171,66
301549,19,130,178,66
301667,23,128,153,66
301966,23,159,154,66
302031,23,127,154,66
302032,21,163,156,66
302070,19,140,162,66
302071,18,153,165,66
302072,18,136,156,66
302073,19,157,156,66
302074,19,144,158,66
302197,19,157,158,66
302202,19,139,162,66
302203,20,149,159,66
302204,19,146,173,66
302205,20,138,172,66
302206,19,149,170,66
302207,19,141,176,66
302208,19,155,173,66
302209,20,150,173,66
302210,20,151,172,66
302211,20,166,167,66
302212,21,162,154,66
302213,17,165,155,66
302214,16,179,155,66
302253,19,174,183,66
302254,18,175,182,66
302255,18,176,181,66
302256,17,160,169,66
302257,17,165,176,66
302258,21,172,173,66
302270,21,184,177,66
302271,20,224,164,66
302396,17,165,173,66
302925,20,140,159,65
303013,21,176,185,65
303014,22,146,194,65
303015,19,168,184,65
303016,19,139,178,65
303291,21,170,153,65
303370,19,147,166,65
303371,18,129,160,65
303372,19,134,160,65
303373,18,161,160,65
303374,19,135,155,65
303375,19,153,158,65
303376,19,145,156,65
303377,19,171,158,65
303378,18,141,155,65
303379,19,156,157,65
303380,19,150,158,65
303381,18,149,156,65
303453,20,174,155,65
303454,20,162,162,65
303487,19,147,172,65
303488,19,143,176,65
303489,19,147,170,65
303490,19,155,169,65
303491,19,165,170,65
303492,18,168,156,65
303493,20,175,159,65
303494,19,175,153,65
303495,20,169,164,65
303496,18,182,153,65
303497,18,187,157,65
303498,18,139,154,65
303499,17,173,155,65
303500,17,143,170,65
303501,16,155,155,65
303502,17,146,169,65
303503,17,151,165,65
303504,17,195,156,65
303505,19,188,161,65
303506,18,173,161,65
303533,18,179,178,65
303534,21,170,171,65
304005,21,137,154,64
304006,21,134,158,64
304007,22,131,156,64
304008,21,152,156,64
304009,22,130,153,64
304140,19,162,190,64
304141,22,145,195,64
304142,22,141,194,64
304143,22,137,192,64
304144,22,137,194,64
304145,22,161,192,64
304501,21,156,154,64
304502,21,155,156,64
304503,20,153,160,64
304555,20,173,155,64
304595,18,136,167,64
304596,19,144,167,64
304597,19,156,165,64
304598,19,138,164,64
304599,18,145,160,64
304600,19,138,161,64
304601,19,136,159,64
304602,18,168,159,64
304730,19,156,155,64
304734,19,146,162,64
304735,20,136,169,64
304736,20,138,175,64
304737,19,154,175,64
304738,19,154,172,64
304739,19,163,172,64
304740,19,177,161,64
304741,20,165,156,64
304742,17,175,153,64
304743,19,172,166,64
304744,18,143,157,64
304745,20,181,161,64
304746,16,174,158,64
304747,17,158,168,64
304788,19,173,181,64
304789,18,171,171,64
304790,18,163,171,64
304791,18,151,162,64
304797,21,185,176,64
304798,21,182,182,64
304874,19,139,172,64
304934,19,175,191,64
304935,19,178,185,64
305429,19,134,164,63
305430,22,148,153,63
305533,19,155,189,63
305534,19,146,177,63
305535,21,160,191,63
305536,22,136,193,63
305836,22,160,156,63
305887,18,132,153,63
305908,18,127,162,63
305909,19,148,157,63
305910,19,130,157,63
305911,19,140,159,63
305967,21,153,155,63
305968,19,174,155,63
305994,19,141,159,63
305995,20,145,169,63
305996,20,137,168,63
305997,19,133,174,63
305998,20,161,163,63
305999,20,164,169,63
306000,19,182,157,63
306001,19,156,170,63
306002,20,160,167,63
306003,20,167,166,63
306004,19,190,154,63
306005,19,189,155,63
306006,20,171,160,63
306007,20,153,158,63
306008,19,161,155,63
306009,18,141,156,63
306010,17,150,156,63
306011,18,152,158,63
306012,18,157,153,63
306013,18,186,158,63
306014,17,176,154,63
306070,19,174,182,63
306071,18,175,179,63
306072,18,155,176,63
306073,21,170,175,63
306078,22,172,185,63
306151,21,191,167,63
306188,19,171,188,63
306620,19,135,162,62
306621,21,135,153,62
306622,19,138,155,62
306623,21,140,159,62
306624,20,144,154,62
306764,20,165,187,62
306765,20,164,191,62
306766,19,163,189,62
306767,19,165,181,62
306768,18,128,181,62
307149,21,136,154,62
307255,19,132,154,62
307256,17,143,153,62
307273,19,145,165,62
307274,19,132,166,62
307275,18,157,167,62
307276,19,150,155,62
307277,18,143,153,62
307412,20,152,158,62
307416,19,139,160,62
307417,19,135,168,62
307418,20,157,174,62
307419,19,138,175,62
307420,19,179,167,62
307421,18,186,163,62
307422,19,163,171,62
307423,19,181,166,62
307424,19,183,156,62
307425,20,166,155,62
307426,18,147,156,62
307427,18,150,155,62
307428,16,178,156,62
307429,16,175,156,62
307430,19,156,173,62
307431,16,175,157,62
307432,19,186,163,62
307433,17,196,155,62
307434,17,166,160,62
307469,19,174,180,62
308149,21,139,154,61
308150,19,140,160,61
308151,21,133,159,61
308152,20,132,164,61
308153,21,138,155,61
